year,Bangladesh,t,t2
1970,140.0027053,1,1
1971,133.5514189,2,4
1972,94.38167705,3,9
1973,119.5597239,4,16
1974,182.0200185,5,25
1975,277.5706052,6,36
1976,141.1971589,7,49
1977,131.3732273,8,64
1978,176.0339474,9,81
1979,200.769677,10,100
1980,227.7519265,11,121
1981,247.6496168,12,144
1982,220.718797,13,169
1983,204.4176901,14,196
1984,213.9966386,15,225
1985,245.4539123,16,256
1986,233.6580722,17,289
1987,253.9744737,18,324
1988,270.6996009,19,361
1989,285.8292169,20,400
1990,306.2687008,21,441
1991,293.1604211,22,484
1992,293.6449876,23,529
1993,300.5557477,24,576
1994,299.5330371,25,625
1995,329.4240761,26,676
1996,394.7174919,27,729
1997,401.4986674,28,784
1998,407.4291762,29,841
1999,409.5431838,30,900
2000,418.0689421,31,961
2001,415.0344043,32,1024
2002,413.0802826,33,1089
2003,446.3106757,34,1156
2004,475.2919302,35,1225
2005,499.4619402,36,1296
2006,509.6401899,37,1369
2007,558.0518407,38,1444
2008,634.9870697,39,1521
2009,702.2644196,40,1600
2010,781.1535777,41,1681
2011,861.7621622,42,1764
2012,883.1171296,43,1849
2013,981.8608514,44,1936
2014,1118.873808,45,2025
2015,1248.45331,46,2116
2016,1678.95323,47,2209
2017,1839.583378,48,2304
2018,1991.483267,49,2401
2019,2154.226819,50,2500
2020,2270.347535,51,2601
2021,2503.04388,52,2704
